Puesto,Puesto Categorizado
ACCESORIOS,Apoyo Operativo
ADMINISTRACION,Administrativo
ADMINISTRACION DE GARANTIAS,Garantias y Seguros
ADMINISTRADOR DE GARANTIAS,Garantias y Seguros
ADMINISTRADOR DE SEMINUEVOS,Administrativo
ADMINISTRADOR DE VENTAS DE FLOTILLAS,Ventas
ADMINISTRATIVO DE POSTVENTA,Ventas
ADMINISTRATIVO DE SERVICIO,Administrativo
ADMINISTRATIVO DE VENTAS,Ventas
ADMVO VENTAS,Ventas
ALINEADOR,Técnico y Taller
ALMACENISTA,Refacciones y Almacén
ALMACENISTA DE REFACCIONES Y PARTES,Refacciones y Almacén
APV,Apoyo Operativo
ARMADOR/HOJALATERO,Técnico y Taller
ASESOR,Ventas
ASESOR BDC POSVENTA,Ventas
ASESOR DE AUTOFINACIAMIENTO,Ventas
ASESOR DE GARANTIAS,Garantias y Seguros
ASESOR DE H Y P,Técnico y Taller
ASESOR DE HOJALATERIA Y PINTURA,Técnico y Taller
ASESOR DE HOLATERIA Y PINTURA ,Técnico y Taller
ASESOR DE HYP,Técnico y Taller
ASESOR DE MARKETING,Marketing y CRM
ASESOR DE REFACCIONES,Servicio
ASESOR DE SEMINUEVOS,Ventas
ASESOR DE SERVICIO,Servicio
ASESOR DE SINIESTROS,Ventas
ASESOR DE VENTA,Ventas
ASESOR DE VENTA DE ACCESORIOS,Ventas
ASESOR DE VENTA DE GARANTIAS,Ventas
ASESOR DE VENTAS,Ventas
ASESOR DE VENTAS ,Ventas
ASESOR DE VENTAS DE SEMINUEVOS,Ventas
ASESOR DE VENTAS DIGITAL,Ventas
ASESOR DE VENTAS DIGITALES ,Ventas
ASESOR DIGITAL,Ventas
ASESOR FINANCIERO,Ventas
ASESOR H Y P,Técnico y Taller
ASESOR SEMINUEVOS,Ventas
ASESOR SERVICIO,Servicio
ASESOR SINIESTROS,Ventas
ASESOR TECNICO,Técnico y Taller
ASESOR VENTAS,Ventas
ASESOR VIRTUAL,Administrativo
ASESOR WEB,Administrativo
ASESORA DE SERVICIO,Servicio
ASISTENTE ADMINISTRATIVO,Administrativo
ASISTENTE COMO NUEVOS,Administrativo
ASISTENTE COORDINADOR DE CITAS,Administrativo
ASISTENTE DE ATENCION A CLIENTE,Administrativo
ASISTENTE DE AUTOFINANCIAMIENTO,Administrativo
ASISTENTE DE BDC,Administrativo
ASISTENTE DE FINANCIAMIENTO,Administrativo
ASISTENTE DE GERENCIA DE SEMINUEVOS,Administrativo
ASISTENTE DE H Y P,Técnico y Taller
ASISTENTE DE HOJALATERIA Y PINT,Técnico y Taller
ASISTENTE DE HYP,Administrativo
ASISTENTE DE RECURSOS HUMANOS,Administrativo
ASISTENTE DE SEMINUEVOS,Administrativo
ASISTENTE DE SERVICIO,Servicio
ASISTENTE DE VENTAS,Ventas
ASISTENTE F&I,Administrativo
ASISTENTE TFS,Administrativo
ATENCION A CLIENTES,Servicio
AUX DE CALIDAD,Garantias y Seguros
AUX REFACCIONES,Técnico y Taller
AUX. HOJALATERIA Y PINTURA,Técnico y Taller
AUXILIAR,Técnico y Taller
AUXILIAR ADMINISTRATIVO,Administrativo
AUXILIAR ADMINISTRATIVO (SINIESTROS Y HYP),Técnico y Taller
AUXILIAR ADMINISTRATIVO DE VENTAS,Ventas
AUXILIAR BANCOS TRASLADOS,Administrativo
AUXILIAR CONTABLE,Administrativo
AUXILIAR CONTABLE (TESORERIA),Administrativo
AUXILIAR DE ALMACEN,Administrativo
AUXILIAR DE FINANCIAMIENTO,Administrativo
AUXILIAR DE GARANTIAS,Garantias y Seguros
AUXILIAR DE HYP,Administrativo
AUXILIAR DE LIMPIEZA,Apoyo Operativo
AUXILIAR DE REFACCIONES,Refacciones y Almacén
AUXILIAR DE REFACCIONES ,Administrativo
AUXILIAR DE REFACCIONES Y PARTES,Técnico y Taller
